# Bucket mapping artefact -- NGFS/CLIMACRED sector -> carbon bucket, with the NACE
# codes each sector is meant to cover on the bank side.
#
# This file is deliberately NOT Python. It is the most contestable assumption in the
# whole chain: NGFS PD projections arrive as (scenario, sector, region, date) while a
# bank book arrives as (NACE code, country, rating), and every result downstream
# inherits whatever is decided here. Keep it showable and editable without touching
# the code (specification section 7.6).
#
# TWO classifications are carried side by side. run_rst.py --bucket-rule picks one;
# their disagreement is a result in itself, not a caveat.
#
#   carbon_bucket_transition  (default)  DATA-DRIVEN, regenerated by build_mapping.py.
#       H = sectors whose MEDIAN pd_adjustment RISES under HWTP vs the BAU, over
#       2024-2030, read on the World aggregate. L = everything else. This defines
#       "brown" as "loser of the transition" -- the channel the model actually
#       transmits -- rather than as "carbon-intensive". Do not hand-edit: run
#       `python build_mapping.py` instead, and read the diff.
#
#   carbon_bucket_taxonomy               HAND-WRITTEN prior, kept for comparison.
#       H <- sector_group in {"Energie fossile", "Electricite fossile",
#       "Industrie lourde"}, L <- everything else. It is a judgement imposed from
#       outside, and the data contradicts it on 15 of the 50 sectors -- notably
#       "CCS coal" and "CSS Gas", abatement technologies filed here under fossil
#       electricity, and the transport sectors, which the taxonomy leaves in L.
#
# median_pd_adjustment_hwtp is the statistic behind the transition rule, in percentage
# points. It is written next to the bucket because the sign rule is arbitrary near
# zero: six sectors sit at exactly 0.0 and fall in L by convention, and "Oil Fired"
# enters H on +0.015 pp. Check it before quoting any single sector's bucket.
#
# CIRCULARITY: classifying on HWTP and then studying HWTP assumes the conclusion. DAPS
# -- the narrative that binds in every run so far -- takes no part in the split, so
# applying it to DAPS is a genuine out-of-sample test. HWTP's own results are
# descriptive only. DAPS and SWUC cannot classify at all: they raise PD across the
# whole economy and leave the green bucket empty.
#
# sector_group values are byte-identical to climacred_loader.SECTOR_GROUPS, enforced by
# scenarios.check_mapping_coverage(). Aggregation to H/L is exposure-weighted
# (scenarios.aggregate_to_carbon_buckets). nace_codes are indicative section/division
# prefixes, ';'-separated, and are hand-written.
ngfs_sector,sector_group,carbon_bucket_taxonomy,carbon_bucket_transition,median_pd_adjustment_hwtp,nace_codes
Coal,Énergie fossile,H,H,31.030002,B05
Coal fired,Électricité fossile,H,H,13.35905,D35.11
Gas Fired,Électricité fossile,H,H,10.505891,D35.11
Gas,Énergie fossile,H,H,10.410034,B06.2;D35.2
Oil,Énergie fossile,H,H,7.193108,C19.2
Crude Oil,Énergie fossile,H,H,6.36341,B06.1
Transport equipment (excluding EV),Industrie manufacturière,L,H,1.949335,C29;C30
Chemical Products,Industrie lourde,H,H,1.152147,C20
Ferrous metals,Industrie lourde,H,H,1.103266,C24.1
Non-metallic minerals,Industrie lourde,H,H,0.937958,C23
Non-ferrous metals,Industrie lourde,H,H,0.875491,C24.4
Basic pharmaceutical products,Industrie manufacturière,L,H,0.758109,C21
Water transport,Transport & logistique,L,H,0.601291,H50
Warehousing,Transport & logistique,L,H,0.567603,H52
Land transport,Transport & logistique,L,H,0.560911,H49
Air transport,Transport & logistique,L,H,0.560891,H51
Consumer Goods Industries,Industrie manufacturière,L,H,0.503628,C10;C11;C13;C14;C15
Rubber and plastic products,Industrie manufacturière,L,H,0.48752,C22
Agriculture,Agriculture & services,L,H,0.460868,A01
Market Services,Agriculture & services,L,H,0.376762,G;I;J;K;L;M;N
Other Equipment Goods,Industrie manufacturière,L,H,0.302252,C28
"Paper products, publishing",Industrie lourde,H,H,0.275428,C17;C18
Fabricated Metal products,Industrie manufacturière,L,H,0.145643,C25
Non Market Services,Agriculture & services,L,H,0.118841,O;P;Q
Oil Fired,Électricité fossile,H,H,0.015089,D35.11
Equipment for CCS power technology,Équipements bas-carbone,L,L,0.0,C28.29
CCS coal,Électricité fossile,H,L,0.0,D35.11
CSS Bio,Électricité bas-carbone,L,L,0.0,D35.11
Advanced Electric Appliances,Équipements bas-carbone,L,L,0.0,C27.5
Clean Gas,Vecteurs & captage,L,L,0.0,D35.2
CSS Gas,Électricité fossile,H,L,0.0,D35.11
"Computer, electronic and optical products",Industrie manufacturière,L,L,-0.018266,C26
Advanced Heating and Cooking Appliances,Équipements bas-carbone,L,L,-0.069844,C27.51
Construction,Industrie manufacturière,L,L,-0.283455,F41;F42;F43
Nuclear,Électricité bas-carbone,L,L,-1.173421,D35.11
Biomass Solid,Électricité bas-carbone,L,L,-1.343562,D35.11
Hydro electric,Électricité bas-carbone,L,L,-1.84703,D35.11
Power Supply,Réseau électrique,L,L,-2.302663,D35.12;D35.13
Biomass,Vecteurs & captage,L,L,-2.714421,A02
R&D,Agriculture & services,L,L,-4.39688,M72
EV Transport Equipment,Équipements bas-carbone,L,L,-5.534317,C29.1
Hydrogen,Vecteurs & captage,L,L,-5.537323,C20.11
CO2 Capture,Vecteurs & captage,L,L,-5.692041,E39
Batteries,Équipements bas-carbone,L,L,-5.750566,C27.2
PV,Électricité bas-carbone,L,L,-5.847199,D35.11
Geothermal,Électricité bas-carbone,L,L,-5.9161,D35.11
Equipment for PV panels,Équipements bas-carbone,L,L,-6.645221,C26.11;C27.9
Equipment for wind power technology,Équipements bas-carbone,L,L,-6.871424,C28.11
Biofuels,Vecteurs & captage,L,L,-6.895416,C19.2;C20.14
Wind,Électricité bas-carbone,L,L,-7.201801,D35.11
